,Adj Close,Adj Close,Adj Close,Adj Close
,CL,DXY,GC,ZN
count,951.0,951.0,951.0,951.0
mean,720.9401381324826,132.28880012048614,270.43757227084404,130.10387828781114
std,612.3934231166255,116.70878362981229,243.9408617088299,109.50845448354023
min,0.0,0.0,0.0,0.0
25%,282.79416410896596,42.228841727607325,92.63064187060132,48.70492472125676
50%,580.6725385472689,100.85420066150431,194.68617860698424,98.54771784232774
75%,967.3970577248169,193.3983932240757,379.30821754160297,182.44249798755163
90%,1473.5963544031172,288.7546143778685,615.0473452462402,274.2073693230518
95%,1857.7444696601274,352.24125040889123,755.7791820493121,336.91620598047314
99%,2816.011663618496,523.3600827420637,1060.7889571147978,496.07888893603126
max,5225.155220563375,846.6771244464288,1843.5052685533738,796.9222313822488
